,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,Weather
0,3.8091923914268033,-1.1394031114075167,-0.579395915416152,0.5918255769611919,0.1085577220996808,Fog
1,3.4557814012581205,-1.1079378115989915,-0.17199361280755646,0.2007470327325326,-0.19540221353323758,Fog
2,3.292229855911888,-0.6039394771048906,-0.007408033623607243,-0.4511803672334954,-0.5546680738106379,Fog
3,3.114368736268434,-0.4463778470982605,0.08771163342668398,-0.21811033563247487,-0.4908862829460773,Fog
4,3.3728436168424,-0.10117946054542774,-0.07881614663565,-0.4810755383744257,-0.6435807897572751,Fog
5,3.8650173307065843,-1.223110052880089,-0.5437216327962703,0.5715006000742168,0.12462476822966799,Fog
6,3.9385566159195124,0.07985038160082383,1.0069400754391666,-0.5951890965019477,-0.6341627365484028,Fog
7,3.715735277836733,-0.15383615937081446,0.4217274518170397,-0.7012974856737432,0.4638872836557178,Fog
8,3.933616094706234,-0.39366959662267664,0.5338093480238089,-0.7117142104677343,0.5562572389535664,Fog
9,3.756026355072285,-0.18969626834285427,0.7768765795477448,-0.37980367636492013,0.47622541882311736,Fog
10,3.986572609729596,-0.5832198423080475,0.07830675929048955,-0.21551449134040326,0.8192598540935816,Fog
11,4.030767166178417,-0.5340458672211712,-0.22576980644587202,0.10615006684547038,0.05674461974205301,Fog
12,4.194894440268182,-0.5006799427583455,-0.07997463511758687,0.1347339438611959,-0.057146211948153156,Fog
13,4.365389165456328,-0.27788195222193707,-0.7618931816463567,0.38284089784444275,0.04769058786199982,Fog
14,3.896460706817682,-0.15656561025007673,-0.40794651602497567,0.03474959400147585,-0.13478375347705224,Fog
15,4.62822558480519,-1.9345404357945197,-0.9042142741319553,0.9508069262497911,0.8319554264255845,Fog
16,3.462061579720486,0.02918303284393741,0.6684484768849983,-0.32710855068304967,0.3261079302091916,Fog
17,3.8985095314616607,1.3969639704206653,0.22599650824597378,-0.9077137132562617,-0.7017294376664708,Fog
18,2.686460799831771,-1.1221168896033415,0.7805342481584413,1.8658364469635544,0.8485334526478449,Thunderstorm
19,2.9318626608225045,-1.9853120478872888,-0.6409394460484582,0.8439098295175287,0.05074241454297463,Fog
20,3.818572549125502,-1.8976195482023317,-0.8668352757736579,0.3087713607817833,0.2945920583207469,Fog
21,4.151973350785912,-1.4846091822532386,0.5273084203887103,0.620034417117205,0.24924202109409266,Fog
22,3.7184390666446845,-0.8709471016888989,1.0352581385989175,0.39696612393620745,-0.19717730662326288,Fog
23,3.7981879500837685,-0.8704290812881492,-0.12782583841700176,1.140070733758384,0.11473862380354603,Fog
24,3.5632623247719795,0.059940961972998655,0.9615468405241034,-0.05283951851225531,0.3903818696020198,Fog
25,3.7624135584671214,-0.6889943582497633,0.3442406176482279,-0.275963119132398,-0.3702066704504614,Fog
26,3.607412462165506,-0.5386305996471493,-0.7174173387325132,0.6539438254826552,-0.11021675588065291,Fog
27,3.7839357778575895,-0.9439612522591531,0.3620471764090279,0.6189869443260678,-0.07111189766507417,Fog
28,3.292736964004067,-1.0111186616706698,0.6421934270018257,0.14745098730969602,-0.38022074227498437,Fog
29,3.0735413355220778,-0.9608900115342436,-0.004548842122081791,-0.3784797997540029,-0.533653086294559,Fog
30,2.9627429283737325,-1.1553160235816962,0.1944981361919214,0.779836924386096,-0.2615024592546527,Fog
31,2.8927071334619026,-0.8270011685332732,-0.07857573584162852,0.5632905276372794,-0.4191695970686954,Fog
32,1.9454022170273164,-1.6070837155878468,0.3205333760749411,1.2325063363596405,-0.4511224717032821,Rain
33,2.52205813708953,-2.073510124144483,-0.7267247777953911,0.8826827047100337,-0.11138671488451168,Rain
34,2.826852129008699,-1.8535517182309849,0.24479018443317282,0.8136833362944377,-0.08968488699123607,Fog
35,3.3552512378935355,0.05648450365065776,1.0964595666071053,-0.24424703283803373,-0.8021409928955582,Fog
36,3.1655505108184023,0.5849362935779361,1.4893881360571186,-0.1857990269180732,0.1497818368573635,Sunshine
37,2.9069235532865054,0.5720485502167839,1.3127263338787944,-0.33330364049136624,-0.1233435588912722,Fog
38,1.7328846260609119,0.7769986115302912,0.5670985450419399,-0.4724384435253219,-0.4338674319136372,Sunshine
39,1.9050444786859777,-1.003591266819084,0.4229148786252838,0.016324129453893232,0.1824193287886348,Fog
40,2.763365637929805,0.5189979072365337,1.1650306739352405,-0.8658209390926527,-1.375868710196598,Fog
41,3.341322418942597,0.804381391578483,0.7963501293756592,0.13487059866950724,0.4337058479784752,Sunshine
42,3.116207700916365,1.2188314725831808,2.230408897322494,-0.27217921562007513,0.0011645253424977457,Sunshine
43,2.6226459885179194,1.7003441799569354,2.2684916142303897,-0.9222671793998788,-0.5174367476317671,Sunshine
44,2.116580264655329,0.2664629409034869,0.40607126131667015,0.13895178479709588,0.18560082406031647,Sunshine
45,2.321072946998074,-0.08999327867385234,0.8956257017115509,-0.06328622850321677,-1.0692884747134985,Fog
46,1.9731924316052467,1.6000720723517132,1.3030121847335852,-0.5331157570948528,-0.33359682428983084,Sunshine
47,2.43359235369866,1.9542891486224168,2.142654634024377,-0.8224720053067174,-0.4757227497619699,Sunshine
48,2.2335404085332797,1.2024410055099677,0.7511239565867421,-1.2223895988432967,-0.22157459434504698,Sunshine
49,2.9644879936741115,1.517741992855767,0.47580394517647023,-0.7592250988339079,0.16481598508410522,Sunshine
50,3.1468390274311173,1.242820440060509,0.9400733950802651,-0.45377279719285474,0.3170119095308544,Sunshine
51,2.994651637269233,0.7546208161645345,0.8265181417613258,-0.6984074518610814,0.14572529921004862,Fog
